UserID,DateUTC,RevenueUSD,PaymentAttemptID,RenewalType
850747518446500629,2025-07-28 05:29:26.58 UTC,29.94,27933926,Renewal
850747518446500629,2025-06-28 05:28:43.653 UTC,30.03,27715030,Renewal
850747518446500629,2025-05-28 13:28:41.433 UTC,29.78,27490882,New
7071301041731453202,2025-05-18 20:51:54.12 UTC,28.64,27425071,New
332338173415104869,2025-05-19 16:51:08.543 UTC,45.18,27430950,New
6875667520713457197,2025-05-18 20:19:13.03 UTC,28.64,27424933,New
733067850462988710,2025-05-18 22:05:42.033 UTC,28.64,27425653,New
4339199796184768811,2025-05-18 19:39:08.813 UTC,89.99,27424730,New
7273702416932880348,2025-05-19 00:49:37.723 UTC,14.32,27426649,New
5660244091276679120,2025-05-19 03:57:14.663 UTC,28.64,27427571,New
5660244091276679120,2025-06-19 03:55:57.08 UTC,29.28,27648610,Renewal
9174189582641453747,2025-05-19 01:04:28.257 UTC,14.32,27426786,New
1377152253025402887,2025-05-19 19:39:06.65 UTC,28.69,27431718,New
3474874371290708975,2025-04-15 21:34:02.977 UTC,24.75,27200670,Renewal
3474874371290708975,2025-05-31 15:36:00.09 UTC,24.92,27510913,Renewal
3474874371290708975,2025-06-30 15:35:53.417 UTC,25.49,27733287,Renewal
6503614376418988867,2025-06-14 17:48:16.973 UTC,52.99,27616808,Renewal
6897206842719085941,2025-06-08 20:00:53.147 UTC,22.63,27575175,Renewal
6897206842719085941,2025-07-22 03:40:46.857 UTC,33.56,27890984,Renewal
7502508215014122373,2025-08-21 18:32:23.827 UTC,13.68,28111952,New
701369738119392497,2025-08-19 18:41:21.947 UTC,29.97,28097817,New
256888896191695966,2025-08-19 01:16:38.087 UTC,14.61,28092930,New
2014555576031012013,2025-08-25 04:17:56.017 UTC,14.41,28137097,New
6154698061936202604,2025-08-18 21:52:06.41 UTC,14.49,28091628,New
6702014189739920664,2025-08-20 00:17:53.46 UTC,52.13,28099791,New
3796644386234414922,2025-08-19 19:14:00.977 UTC,33.3,28097971,New
441742668791632164,2025-08-19 14:32:49.58 UTC,28.96,28096623,New
143906754308117254,2025-08-19 05:40:16.913 UTC,25.36,28094103,New
4182918123818817448,2025-08-18 22:38:41.773 UTC,32.61,28091882,New
2635888814898450004,2025-06-30 17:00:14.49 UTC,52.67,27733739,Renewal
1968574130418931802,2025-06-24 00:31:39.087 UTC,58.05,27684457,Renewal
9182250594808313826,2025-06-17 05:29:56.897 UTC,25.79,27634706,Renewal
9182250594808313826,2025-04-30 04:43:09.063 UTC,25.26,27294564,Renewal
9182250594808313826,2025-07-25 06:27:26.717 UTC,25.71,27912467,Renewal
1117271163271031387,2025-07-31 12:26:55.097 UTC,108.79,27957065,Renewal
1117271163271031387,2025-04-03 05:01:12.567 UTC,55.86,27120890,Renewal
5694967555714350092,2025-06-27 09:46:09.823 UTC,29.22,27709126,Renewal
5694967555714350092,2025-05-02 12:10:15.04 UTC,28.94,27310693,New
7905267268760961017,2025-05-03 20:22:18.12 UTC,32.56,27320431,New
9065650927465570774,2025-07-21 01:40:55.6 UTC,45.88,27883052,Renewal
5373957393156389700,2025-07-03 05:51:36.777 UTC,32.97,27752676,New
6973218368016819952,2025-06-20 00:50:08.563 UTC,29.18,27654819,New
7751062217791452623,2025-06-20 03:24:11.503 UTC,43.77,27655647,New
1914428776347676844,2025-06-19 17:22:46.783 UTC,58.36,27652380,New
5786126810744170025,2025-06-22 10:33:44.37 UTC,43.7,27672683,New
7483153734275626539,2025-06-19 19:45:02.807 UTC,105.78,27652997,New
1678613103068588549,2025-08-09 08:10:44.61 UTC,32.75,28021716,Renewal
1678613103068588549,2025-06-20 18:34:03.78 UTC,32.83,27659787,New
6051569255845867353,2025-06-21 16:28:31.397 UTC,29.13,27666847,New
9176917613170698057,2025-06-19 20:44:48.937 UTC,29.18,27653242,New
1003893269020581384,2025-04-28 18:07:00.147 UTC,28.84,27284813,Renewal
1003893269020581384,2025-07-19 08:35:20.91 UTC,29.14,27870557,Renewal
7653068003750234651,2025-06-28 09:49:28.09 UTC,22.71,27716340,New
8668112740795636604,2025-06-27 15:31:10.563 UTC,29.3,27710693,New
4105494145890134428,2025-06-27 15:07:41.56 UTC,29.3,27710616,New
1240204515609999809,2025-08-20 09:12:36.587 UTC,37.64,28102463,Renewal
1240204515609999809,2025-07-19 20:08:19.693 UTC,33.44,27873538,New
3362703723866582630,2025-06-28 06:49:58.99 UTC,29.3,27715360,New
421006425097287347,2025-06-27 09:56:16.447 UTC,11.46,27709147,New
421006425097287347,2025-07-27 09:56:08.72 UTC,11.46,27928040,Renewal
421006425097287347,2025-08-27 09:56:09.26 UTC,11.46,28154623,Renewal
3343805734595915963,2025-06-26 23:08:42.817 UTC,32.87,27705748,New
1692413679584632337,2025-06-26 23:47:53.607 UTC,58.45,27705905,New
2934924162076829984,2025-07-10 08:04:15.663 UTC,40.85,27805142,New
2934924162076829984,2025-07-09 09:05:36.48 UTC,81.27,27798404,New
2934924162076829984,2025-07-09 08:59:33.48 UTC,81.27,27798360,New
2934924162076829984,2025-07-10 18:41:38.81 UTC,81.08,27807743,New
2934924162076829984,2025-06-29 01:46:23.137 UTC,81.06,27721600,New
8168122425523493465,2025-06-29 02:16:47.54 UTC,52.58,27721794,New
8509449964454573051,2025-06-27 09:28:39.02 UTC,32.87,27709074,New
3769450370130526687,2025-06-27 21:14:23.567 UTC,17.58,27712371,New
3692532181494190044,2025-06-27 00:10:36.87 UTC,22.64,27706355,New
7159824850946821069,2025-06-27 23:29:34.943 UTC,33.7,27713026,New
6674429498731142200,2025-06-28 06:33:42.54 UTC,72.52,27715320,New
1331493032908880384,2025-06-26 23:42:52.9 UTC,29.22,27705892,New
8338702539975195198,2025-06-27 04:46:06.263 UTC,32.87,27707690,New
4583610649412890535,2025-06-27 10:54:33.31 UTC,29.22,27709379,New
2695907224008324333,2025-06-27 02:58:56.513 UTC,32.87,27707265,New
5439839484738919333,2025-07-05 13:56:49.233 UTC,52.97,27769902,New
2015812890052066938,2025-06-26 23:28:12.31 UTC,35.06,27705841,New
